date,state,sex,ethnicity,age,population
1/1/2020,Pulau Pinang,male,bumi_malay,15-19,31.6
1/1/2020,Pulau Pinang,male,bumi_malay,20-24,37.6
1/1/2020,Pulau Pinang,male,bumi_malay,25-29,35.6
1/1/2020,Pulau Pinang,male,bumi_malay,30-34,34.8
1/1/2020,Pulau Pinang,male,bumi_malay,35-39,34
1/1/2020,Pulau Pinang,male,bumi_malay,40-44,24.6
1/1/2020,Pulau Pinang,male,bumi_malay,45-49,22.5
1/1/2020,Pulau Pinang,male,bumi_malay,50-54,19
1/1/2020,Pulau Pinang,male,bumi_malay,55-59,15.4
1/1/2020,Pulau Pinang,male,bumi_malay,60-64,12.4
1/1/2020,Pulau Pinang,male,bumi_malay,65-69,7.6
1/1/2020,Pulau Pinang,male,bumi_malay,70-74,3.9
1/1/2020,Pulau Pinang,male,bumi_malay,75-79,1.8
1/1/2020,Pulau Pinang,male,bumi_malay,80-84,0.8
1/1/2020,Pulau Pinang,male,bumi_malay,85+,0.3
1/1/2020,Pulau Pinang,female,bumi_malay,15-19,29.8
1/1/2020,Pulau Pinang,female,bumi_malay,20-24,32.2
1/1/2020,Pulau Pinang,female,bumi_malay,25-29,35.9
1/1/2020,Pulau Pinang,female,bumi_malay,30-34,37.2
1/1/2020,Pulau Pinang,female,bumi_malay,35-39,32.7
1/1/2020,Pulau Pinang,female,bumi_malay,40-44,23.6
1/1/2020,Pulau Pinang,female,bumi_malay,45-49,21.5
1/1/2020,Pulau Pinang,female,bumi_malay,50-54,18.7
1/1/2020,Pulau Pinang,female,bumi_malay,55-59,15.8
1/1/2020,Pulau Pinang,female,bumi_malay,60-64,13.3
1/1/2020,Pulau Pinang,female,bumi_malay,65-69,8.2
1/1/2020,Pulau Pinang,female,bumi_malay,70-74,4.2
1/1/2020,Pulau Pinang,female,bumi_malay,75-79,2
1/1/2020,Pulau Pinang,female,bumi_malay,80-84,1
1/1/2020,Pulau Pinang,female,bumi_malay,85+,0.5
1/1/2020,Sabah,male,bumi_malay,15-19,23.3
1/1/2020,Sabah,male,bumi_malay,20-24,9.5
1/1/2020,Sabah,male,bumi_malay,25-29,10.2
1/1/2020,Sabah,male,bumi_malay,30-34,13.1
1/1/2020,Sabah,male,bumi_malay,35-39,12
1/1/2020,Sabah,male,bumi_malay,40-44,7.9
1/1/2020,Sabah,male,bumi_malay,45-49,6.6
1/1/2020,Sabah,male,bumi_malay,50-54,5.5
1/1/2020,Sabah,male,bumi_malay,55-59,4.8
1/1/2020,Sabah,male,bumi_malay,60-64,3
1/1/2020,Sabah,male,bumi_malay,65-69,2.8
1/1/2020,Sabah,male,bumi_malay,70-74,1.2
1/1/2020,Sabah,male,bumi_malay,75-79,0.4
1/1/2020,Sabah,male,bumi_malay,80-84,0.1
1/1/2020,Sabah,male,bumi_malay,85+,0.1
1/1/2020,Sabah,female,bumi_malay,15-19,14.7
1/1/2020,Sabah,female,bumi_malay,20-24,6.2
1/1/2020,Sabah,female,bumi_malay,25-29,6.7
1/1/2020,Sabah,female,bumi_malay,30-34,9.8
1/1/2020,Sabah,female,bumi_malay,35-39,7.9
1/1/2020,Sabah,female,bumi_malay,40-44,5.6
1/1/2020,Sabah,female,bumi_malay,45-49,4.3
1/1/2020,Sabah,female,bumi_malay,50-54,3.1
1/1/2020,Sabah,female,bumi_malay,55-59,2.8
1/1/2020,Sabah,female,bumi_malay,60-64,1.8
1/1/2020,Sabah,female,bumi_malay,65-69,4.8
1/1/2020,Sabah,female,bumi_malay,70-74,2.5
1/1/2020,Sabah,female,bumi_malay,75-79,1.3
1/1/2020,Sabah,female,bumi_malay,80-84,0.2
1/1/2020,Sabah,female,bumi_malay,85+,0.3
1/1/2020,Sarawak,male,bumi_malay,15-19,29.1
1/1/2020,Sarawak,male,bumi_malay,20-24,28.9
1/1/2020,Sarawak,male,bumi_malay,25-29,27
1/1/2020,Sarawak,male,bumi_malay,30-34,24.8
1/1/2020,Sarawak,male,bumi_malay,35-39,20.8
1/1/2020,Sarawak,male,bumi_malay,40-44,17.2
1/1/2020,Sarawak,male,bumi_malay,45-49,15.9
1/1/2020,Sarawak,male,bumi_malay,50-54,14.7
1/1/2020,Sarawak,male,bumi_malay,55-59,13
1/1/2020,Sarawak,male,bumi_malay,60-64,9.5
1/1/2020,Sarawak,male,bumi_malay,65-69,7.1
1/1/2020,Sarawak,male,bumi_malay,70-74,4.2
1/1/2020,Sarawak,male,bumi_malay,75-79,2.6
1/1/2020,Sarawak,male,bumi_malay,80-84,1.1
1/1/2020,Sarawak,male,bumi_malay,85+,0.6
1/1/2020,Sarawak,female,bumi_malay,15-19,27.6
1/1/2020,Sarawak,female,bumi_malay,20-24,27.7
1/1/2020,Sarawak,female,bumi_malay,25-29,25.4
1/1/2020,Sarawak,female,bumi_malay,30-34,23
1/1/2020,Sarawak,female,bumi_malay,35-39,20
1/1/2020,Sarawak,female,bumi_malay,40-44,17.3
1/1/2020,Sarawak,female,bumi_malay,45-49,15.7
1/1/2020,Sarawak,female,bumi_malay,50-54,14.6
1/1/2020,Sarawak,female,bumi_malay,55-59,12.6
1/1/2020,Sarawak,female,bumi_malay,60-64,9.7
1/1/2020,Sarawak,female,bumi_malay,65-69,7.1
1/1/2020,Sarawak,female,bumi_malay,70-74,4.4
1/1/2020,Sarawak,female,bumi_malay,75-79,2.9
1/1/2020,Sarawak,female,bumi_malay,80-84,1.5
1/1/2020,Sarawak,female,bumi_malay,85+,1
1/1/2020,Selangor,male,bumi_malay,15-19,174.5
1/1/2020,Selangor,male,bumi_malay,20-24,155.1
1/1/2020,Selangor,male,bumi_malay,25-29,159
1/1/2020,Selangor,male,bumi_malay,30-34,201.3
1/1/2020,Selangor,male,bumi_malay,35-39,188
1/1/2020,Selangor,male,bumi_malay,40-44,145.5
1/1/2020,Selangor,male,bumi_malay,45-49,119.8
1/1/2020,Selangor,male,bumi_malay,50-54,95.1
1/1/2020,Selangor,male,bumi_malay,55-59,78.6
1/1/2020,Selangor,male,bumi_malay,60-64,58.5
1/1/2020,Selangor,male,bumi_malay,65-69,62.8
1/1/2020,Selangor,male,bumi_malay,70-74,36.9
1/1/2020,Selangor,male,bumi_malay,75-79,16.1
1/1/2020,Selangor,male,bumi_malay,80-84,7.5
1/1/2020,Selangor,male,bumi_malay,85+,7.4
1/1/2020,Selangor,female,bumi_malay,15-19,157.8
1/1/2020,Selangor,female,bumi_malay,20-24,141.6
1/1/2020,Selangor,female,bumi_malay,25-29,165.7
1/1/2020,Selangor,female,bumi_malay,30-34,216.4
1/1/2020,Selangor,female,bumi_malay,35-39,186.3
1/1/2020,Selangor,female,bumi_malay,40-44,131
1/1/2020,Selangor,female,bumi_malay,45-49,108.2
1/1/2020,Selangor,female,bumi_malay,50-54,87.9
1/1/2020,Selangor,female,bumi_malay,55-59,72.6
1/1/2020,Selangor,female,bumi_malay,60-64,54.4
1/1/2020,Selangor,female,bumi_malay,65-69,56.8
1/1/2020,Selangor,female,bumi_malay,70-74,40.6
1/1/2020,Selangor,female,bumi_malay,75-79,17.3
1/1/2020,Selangor,female,bumi_malay,80-84,8.8
1/1/2020,Selangor,female,bumi_malay,85+,6.6
1/1/2020,Terengganu,male,bumi_malay,15-19,56.6
1/1/2020,Terengganu,male,bumi_malay,20-24,50.9
1/1/2020,Terengganu,male,bumi_malay,25-29,43.6
1/1/2020,Terengganu,male,bumi_malay,30-34,42.2
1/1/2020,Terengganu,male,bumi_malay,35-39,40.9
1/1/2020,Terengganu,male,bumi_malay,40-44,31.5
1/1/2020,Terengganu,male,bumi_malay,45-49,27.1
1/1/2020,Terengganu,male,bumi_malay,50-54,23.6
1/1/2020,Terengganu,male,bumi_malay,55-59,23.1
1/1/2020,Terengganu,male,bumi_malay,60-64,17.8
1/1/2020,Terengganu,male,bumi_malay,65-69,12.7
1/1/2020,Terengganu,male,bumi_malay,70-74,7.9
1/1/2020,Terengganu,male,bumi_malay,75-79,4.2
1/1/2020,Terengganu,male,bumi_malay,80-84,2.1
1/1/2020,Terengganu,male,bumi_malay,85+,0.8
1/1/2020,Terengganu,female,bumi_malay,15-19,53.2
1/1/2020,Terengganu,female,bumi_malay,20-24,50.3
1/1/2020,Terengganu,female,bumi_malay,25-29,41.4
1/1/2020,Terengganu,female,bumi_malay,30-34,40.7
1/1/2020,Terengganu,female,bumi_malay,35-39,38.7
1/1/2020,Terengganu,female,bumi_malay,40-44,30.5
1/1/2020,Terengganu,female,bumi_malay,45-49,28
1/1/2020,Terengganu,female,bumi_malay,50-54,25.7
1/1/2020,Terengganu,female,bumi_malay,55-59,24.6
1/1/2020,Terengganu,female,bumi_malay,60-64,19.3
1/1/2020,Terengganu,female,bumi_malay,65-69,13.3
1/1/2020,Terengganu,female,bumi_malay,70-74,8.2
1/1/2020,Terengganu,female,bumi_malay,75-79,5.5
1/1/2020,Terengganu,female,bumi_malay,80-84,3.4
1/1/2020,Terengganu,female,bumi_malay,85+,1.6
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,15-19,32.1
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,20-24,25.9
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,25-29,38.8
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,30-34,44.7
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,35-39,46.4
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,40-44,31.8
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,45-49,26.4
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,50-54,15.7
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,55-59,15.4
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,60-64,9.4
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,65-69,12.9
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,70-74,9.1
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,75-79,4.5
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,80-84,2.6
1/1/2020,W.P. Kuala Lumpur,male,bumi_malay,85+,2.2
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,15-19,29
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,20-24,25.6
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,25-29,43.2
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,30-34,46.5
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,35-39,45.6
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,40-44,31.8
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,45-49,23.3
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,50-54,15.6
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,55-59,15.6
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,60-64,10
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,65-69,13.1
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,70-74,9.1
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,75-79,5.1
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,80-84,2
1/1/2020,W.P. Kuala Lumpur,female,bumi_malay,85+,1.7
1/1/2020,W.P. Labuan,male,bumi_malay,15-19,1
1/1/2020,W.P. Labuan,male,bumi_malay,20-24,0.8
1/1/2020,W.P. Labuan,male,bumi_malay,25-29,1.2
1/1/2020,W.P. Labuan,male,bumi_malay,30-34,1.2
1/1/2020,W.P. Labuan,male,bumi_malay,35-39,1.6
1/1/2020,W.P. Labuan,male,bumi_malay,40-44,0.7
1/1/2020,W.P. Labuan,male,bumi_malay,45-49,0.5
1/1/2020,W.P. Labuan,male,bumi_malay,50-54,0.5
1/1/2020,W.P. Labuan,male,bumi_malay,55-59,0.5
1/1/2020,W.P. Labuan,male,bumi_malay,60-64,0.3
1/1/2020,W.P. Labuan,male,bumi_malay,65-69,0.2
1/1/2020,W.P. Labuan,male,bumi_malay,70-74,0.1
1/1/2020,W.P. Labuan,male,bumi_malay,75-79,0
1/1/2020,W.P. Labuan,male,bumi_malay,80-84,0
1/1/2020,W.P. Labuan,male,bumi_malay,85+,0.1
1/1/2020,W.P. Labuan,female,bumi_malay,15-19,1.1
1/1/2020,W.P. Labuan,female,bumi_malay,20-24,1
1/1/2020,W.P. Labuan,female,bumi_malay,25-29,1.1
1/1/2020,W.P. Labuan,female,bumi_malay,30-34,1
1/1/2020,W.P. Labuan,female,bumi_malay,35-39,1.1
1/1/2020,W.P. Labuan,female,bumi_malay,40-44,0.5
1/1/2020,W.P. Labuan,female,bumi_malay,45-49,0.6
1/1/2020,W.P. Labuan,female,bumi_malay,50-54,0.4
1/1/2020,W.P. Labuan,female,bumi_malay,55-59,0.3
1/1/2020,W.P. Labuan,female,bumi_malay,60-64,0.2
1/1/2020,W.P. Labuan,female,bumi_malay,65-69,0.2
1/1/2020,W.P. Labuan,female,bumi_malay,70-74,0.1
1/1/2020,W.P. Labuan,female,bumi_malay,75-79,0
1/1/2020,W.P. Labuan,female,bumi_malay,80-84,0
1/1/2020,W.P. Labuan,female,bumi_malay,85+,0.1
1/1/2020,W.P. Putrajaya,male,bumi_malay,15-19,2.9
1/1/2020,W.P. Putrajaya,male,bumi_malay,20-24,1.7
1/1/2020,W.P. Putrajaya,male,bumi_malay,25-29,2.3
1/1/2020,W.P. Putrajaya,male,bumi_malay,30-34,4.4
1/1/2020,W.P. Putrajaya,male,bumi_malay,35-39,7.3
1/1/2020,W.P. Putrajaya,male,bumi_malay,40-44,4.3
1/1/2020,W.P. Putrajaya,male,bumi_malay,45-49,2.1
1/1/2020,W.P. Putrajaya,male,bumi_malay,50-54,1.4
